Age,NOC,Sport
23.0,PAK,Hockey
25.0,CAN,Rowing
25.0,JAM,Athletics
18.0,CHN,Cycling
27.0,FRG,Hockey
32.0,FRG,Fencing
32.0,FRG,Fencing
20.0,FRG,Synchronized Swimming
20.0,FRG,Synchronized Swimming
19.0,FRG,Volleyball
26.0,USA,Athletics
37.0,CAN,Equestrianism
37.0,CAN,Equestrianism
26.0,FRG,Handball
28.0,CAN,Rowing
15.0,GBR,Swimming
15.0,GBR,Swimming
15.0,GBR,Swimming
19.0,CAN,Cycling
19.0,GBR,Swimming
19.0,GBR,Swimming
19.0,GBR,Swimming
27.0,GBR,Fencing
27.0,GBR,Fencing
19.0,FRG,Athletics
18.0,USA,Athletics
19.0,GBR,Gymnastics
19.0,GBR,Gymnastics
19.0,GBR,Gymnastics
19.0,GBR,Gymnastics
19.0,GBR,Gymnastics
19.0,GBR,Gymnastics
31.0,FRG,Shooting
25.0,FRG,Athletics
24.0,USA,Gymnastics
24.0,USA,Gymnastics
24.0,USA,Gymnastics
24.0,USA,Gymnastics
24.0,USA,Gymnastics
24.0,USA,Gymnastics
24.0,USA,Gymnastics
24.0,USA,Gymnastics
40.0,GBR,Shooting
21.0,AUS,Athletics
27.0,CAN,Cycling
27.0,CAN,Cycling
32.0,USA,Rowing
23.0,JPN,Wrestling
27.0,AUS,Hockey
21.0,GBR,Rowing
20.0,FRG,Swimming
20.0,FRG,Swimming
20.0,FRG,Swimming
22.0,CAN,Basketball
21.0,USA,Athletics
35.0,JPN,Shooting
21.0,USA,Swimming
21.0,CHN,Handball
27.0,GBR,Athletics
27.0,GBR,Athletics
23.0,GBR,Athletics
20.0,USA,Swimming
20.0,USA,Swimming
20.0,USA,Swimming
20.0,USA,Swimming
20.0,USA,Swimming
21.0,FRA,Shooting
25.0,AUS,Hockey
26.0,FRG,Rowing
28.0,FRG,Fencing
23.0,AUS,Rowing
20.0,USA,Cycling
20.0,USA,Cycling
34.0,FRG,Fencing
34.0,FRG,Fencing
17.0,FRG,Gymnastics
17.0,FRG,Gymnastics
17.0,FRG,Gymnastics
17.0,FRG,Gymnastics
17.0,FRG,Gymnastics
17.0,FRG,Gymnastics
19.0,FRG,Diving
30.0,FRG,Shooting
30.0,FRG,Shooting
28.0,USA,Athletics
27.0,FRG,Wrestling
54.0,ISV,Shooting
20.0,FRG,Swimming
20.0,FRG,Swimming
23.0,CAN,Swimming
20.0,FRA,Fencing
22.0,USA,Basketball
22.0,USA,Swimming
25.0,CAN,Basketball
22.0,GBR,Athletics
22.0,FRG,Wrestling
32.0,USA,Rowing
28.0,FRG,Athletics
28.0,FRG,Athletics
20.0,FRA,Synchronized Swimming
20.0,FRA,Synchronized Swimming
28.0,FRA,Canoeing
23.0,FRG,Canoeing
21.0,FRG,Wrestling
24.0,CAN,Hockey
19.0,CAN,Swimming
19.0,CAN,Swimming
21.0,JPN,Boxing
23.0,JPN,Wrestling
20.0,GBR,Swimming
20.0,GBR,Swimming
20.0,USA,Boxing
23.0,AUS,Athletics
22.0,AUS,Hockey
26.0,FRG,Shooting
26.0,CAN,Athletics
26.0,CAN,Athletics
22.0,CAN,Athletics
26.0,FRG,Athletics
24.0,FRG,Rowing
24.0,FRG,Rowing
32.0,JPN,Shooting
29.0,JPN,Shooting
20.0,JPN,Boxing
44.0,JPN,Shooting
26.0,JPN,Gymnastics
26.0,JPN,Gymnastics
26.0,JPN,Gymnastics
26.0,JPN,Gymnastics
26.0,JPN,Gymnastics
26.0,JPN,Gymnastics
26.0,JPN,Gymnastics
26.0,JPN,Gymnastics
19.0,JPN,Volleyball
42.0,JPN,Equestrianism
25.0,JPN,Volleyball
37.0,JPN,Sailing
26.0,CAN,Volleyball
24.0,CAN,Hockey
25.0,CAN,Volleyball
28.0,ISV,Athletics
28.0,ISV,Athletics
26.0,GBR,Rowing
19.0,GBR,Swimming
21.0,FRG,Shooting
21.0,FRG,Equestrianism
21.0,FRG,Equestrianism
22.0,USA,Swimming
22.0,USA,Swimming
22.0,USA,Swimming
22.0,USA,Swimming
22.0,USA,Swimming
29.0,GBR,Equestrianism
29.0,GBR,Equestrianism
29.0,CAN,Canoeing
29.0,CAN,Canoeing
23.0,ISV,Sailing
16.0,FRG,Shooting
24.0,GBR,Rowing
22.0,GBR,Rowing
22.0,CAN,Wrestling
19.0,CAN,Canoeing
20.0,AUS,Hockey
22.0,GBR,Synchronized Swimming
22.0,GBR,Synchronized Swimming
21.0,GBR,Rowing
26.0,GBR,Athletics
21.0,USA,Boxing
26.0,FRG,Athletics
24.0,FRG,Volleyball
32.0,USA,Equestrianism
32.0,USA,Equestrianism
20.0,JPN,Wrestling
25.0,AUS,Athletics
19.0,USA,Weightlifting
21.0,CAN,Athletics
19.0,USA,Football
22.0,FRG,Water Polo
24.0,JPN,Rowing
27.0,FRG,Rowing
23.0,CAN,Rowing
22.0,FRG,Rowing
17.0,CAN,Swimming
24.0,JPN,Judo
21.0,CHN,Volleyball
23.0,JPN,Water Polo
22.0,CAN,Rowing
18.0,FRA,Rowing
22.0,USA,Athletics
19.0,USA,Athletics
19.0,GBR,Swimming
19.0,GBR,Swimming
25.0,GBR,Rowing
31.0,CAN,Shooting
25.0,AUS,Equestrianism
25.0,AUS,Equestrianism
23.0,FRA,Canoeing
23.0,FRA,Canoeing
29.0,GBR,Athletics
19.0,CHN,Wrestling
21.0,CHN,Basketball
21.0,CHN,Shooting
21.0,CHN,Water Polo
25.0,CHN,Rowing
15.0,CHN,Gymnastics
15.0,CHN,Gymnastics
15.0,CHN,Gymnastics
15.0,CHN,Gymnastics
15.0,CHN,Gymnastics
15.0,CHN,Gymnastics
21.0,CHN,Shooting
18.0,CHN,Rhythmic Gymnastics
27.0,CHN,Water Polo
24.0,CHN,Basketball
27.0,CAN,Basketball
24.0,GBR,Swimming
20.0,FRG,Water Polo
23.0,CAN,Water Polo
22.0,GBR,Boxing
24.0,CAN,Rowing
31.0,GBR,Hockey
21.0,USA,Athletics
29.0,FRA,Rowing
24.0,FRG,Handball
26.0,FRG,Sailing
24.0,FRG,Sailing
24.0,GBR,Athletics
24.0,GBR,Athletics
19.0,JAM,Athletics
25.0,GBR,Rowing
27.0,USA,Athletics
23.0,FRG,Hockey
25.0,PAK,Hockey
36.0,FRG,Boxing
25.0,GBR,Athletics
21.0,AUS,Sailing
22.0,GBR,Boxing
29.0,USA,Volleyball
18.0,FRA,Swimming
18.0,FRA,Swimming
31.0,USA,Rowing
23.0,JPN,Weightlifting
19.0,FRG,Canoeing
19.0,FRG,Canoeing
28.0,JPN,Handball
29.0,JPN,Handball
32.0,FRA,Rowing
25.0,FRA,Rowing
24.0,FRG,Weightlifting
38.0,GBR,Rowing
26.0,JPN,Canoeing
26.0,JPN,Canoeing
33.0,CAN,Athletics
33.0,CAN,Athletics
25.0,ITA,Football
25.0,USA,Hockey
28.0,IND,Hockey
28.0,AUS,Hockey
26.0,JPN,Wrestling
29.0,CAN,Canoeing
35.0,AUS,Hockey
22.0,JPN,Weightlifting
20.0,JPN,Swimming
26.0,ITA,Rowing
24.0,JPN,Volleyball
22.0,JPN,Wrestling
27.0,JPN,Archery
22.0,USA,Athletics
42.0,JPN,Shooting
22.0,ITA,Diving
25.0,JPN,Handball
21.0,JPN,Swimming
21.0,JPN,Swimming
23.0,USA,Rowing
15.0,JPN,Swimming
15.0,JPN,Swimming
25.0,JPN,Volleyball
26.0,JPN,Volleyball
19.0,FRA,Diving
18.0,JPN,Canoeing
18.0,JPN,Canoeing
22.0,AUS,Athletics
27.0,GBR,Canoeing
23.0,JAM,Athletics
23.0,JAM,Athletics
23.0,JAM,Athletics
23.0,JAM,Athletics
17.0,GBR,Athletics
19.0,USA,Swimming
19.0,USA,Swimming
25.0,FRA,Wrestling
20.0,CAN,Football
25.0,IND,Hockey
19.0,GBR,Swimming
19.0,GBR,Swimming
23.0,GBR,Canoeing
26.0,CAN,Judo
23.0,FRG,Gymnastics
23.0,FRG,Gymnastics
23.0,FRG,Gymnastics
23.0,FRG,Gymnastics
23.0,FRG,Gymnastics
23.0,FRG,Gymnastics
23.0,FRG,Gymnastics
23.0,FRG,Gymnastics
17.0,FRA,Swimming
18.0,FRG,Athletics
36.0,USA,Rowing
25.0,FRA,Football
22.0,USA,Athletics
30.0,USA,Shooting
19.0,CHN,Athletics
27.0,CHN,Basketball
23.0,CHN,Shooting
21.0,CHN,Volleyball
27.0,CHN,Athletics
27.0,CHN,Shooting
19.0,CHN,Swimming
19.0,CHN,Swimming
19.0,CHN,Swimming
42.0,CAN,Athletics
42.0,CAN,Athletics
46.0,USA,Shooting
22.0,CAN,Athletics
22.0,CAN,Athletics
24.0,CAN,Rowing
16.0,USA,Swimming
16.0,USA,Swimming
16.0,USA,Swimming
24.0,USA,Gymnastics
24.0,USA,Gymnastics
24.0,USA,Gymnastics
24.0,USA,Gymnastics
24.0,USA,Gymnastics
24.0,USA,Gymnastics
36.0,GBR,Fencing
26.0,USA,Rowing
23.0,USA,Gymnastics
23.0,USA,Gymnastics
23.0,USA,Gymnastics
23.0,USA,Gymnastics
23.0,USA,Gymnastics
23.0,USA,Gymnastics
23.0,USA,Gymnastics
23.0,USA,Gymnastics
26.0,USA,Hockey
26.0,FRA,Fencing
26.0,FRA,Fencing
24.0,CAN,Volleyball
20.0,USA,Athletics
28.0,GBR,Athletics
23.0,USA,Handball
28.0,GBR,Athletics
27.0,CAN,Volleyball
23.0,FRA,Athletics
20.0,FRG,Handball
21.0,USA,Basketball
20.0,USA,Synchronized Swimming
24.0,USA,Athletics
22.0,USA,Athletics
22.0,USA,Athletics
22.0,CHN,Volleyball
26.0,CAN,Water Polo
27.0,FRG,Judo
25.0,FRA,Basketball
29.0,AUS,Weightlifting
27.0,FRG,Basketball
23.0,JPN,Volleyball
21.0,FRG,Archery
21.0,JPN,Water Polo
29.0,JPN,Gymnastics
29.0,JPN,Gymnastics
29.0,JPN,Gymnastics
29.0,JPN,Gymnastics
29.0,JPN,Gymnastics
29.0,JPN,Gymnastics
29.0,JPN,Gymnastics
29.0,JPN,Gymnastics
21.0,CAN,Boxing
26.0,PAK,Hockey
28.0,CAN,Wrestling
48.0,JPN,Shooting
23.0,JPN,Wrestling
17.0,FRA,Swimming
17.0,FRA,Swimming
24.0,JPN,Athletics
23.0,JPN,Fencing
29.0,USA,Athletics
20.0,IND,Weightlifting
25.0,FRG,Sailing
25.0,USA,Football
18.0,FRG,Cycling
25.0,FRG,Rowing
21.0,JPN,Volleyball
21.0,JPN,Rowing
15.0,JPN,Gymnastics
15.0,JPN,Gymnastics
15.0,JPN,Gymnastics
15.0,JPN,Gymnastics
15.0,JPN,Gymnastics
15.0,JPN,Gymnastics
18.0,JPN,Swimming
18.0,JPN,Swimming
32.0,JPN,Modern Pentathlon
32.0,JPN,Modern Pentathlon
23.0,CAN,Basketball
29.0,CAN,Archery
27.0,USA,Rowing
23.0,FRG,Canoeing
18.0,CAN,Diving
30.0,AUS,Wrestling
18.0,FRG,Hockey
16.0,AUS,Swimming
16.0,AUS,Swimming
29.0,AUS,Canoeing
21.0,CAN,Swimming
26.0,CAN,Basketball
21.0,FRG,Volleyball
20.0,USA,Swimming
21.0,AUS,Canoeing
19.0,AUS,Diving
21.0,USA,Canoeing
21.0,USA,Canoeing
22.0,AUS,Basketball
24.0,GBR,Hockey
30.0,AUS,Water Polo
16.0,AUS,Rhythmic Gymnastics
16.0,CAN,Swimming
16.0,CAN,Swimming
16.0,CAN,Swimming
43.0,ISV,Fencing
32.0,CAN,Sailing
24.0,AUS,Swimming
24.0,AUS,Swimming
22.0,FRG,Rowing
21.0,USA,Handball
23.0,CAN,Volleyball
20.0,PAK,Boxing
25.0,PAK,Hockey
26.0,PAK,Sailing
19.0,PAK,Hockey
24.0,USA,Cycling
24.0,USA,Cycling
26.0,USA,Rowing
23.0,FRG,Diving
23.0,FRG,Diving
25.0,CAN,Athletics
25.0,CAN,Athletics
21.0,USA,Diving
21.0,JPN,Synchronized Swimming
21.0,JPN,Synchronized Swimming
26.0,USA,Archery
28.0,AUS,Hockey
21.0,USA,Athletics
23.0,USA,Volleyball
24.0,USA,Rowing
31.0,FRG,Fencing
25.0,USA,Handball
19.0,FRG,Swimming
19.0,FRG,Swimming
19.0,FRG,Swimming
19.0,FRG,Swimming
29.0,USA,Canoeing
29.0,USA,Canoeing
36.0,FRG,Rowing
25.0,FRG,Athletics
24.0,ISV,Sailing
22.0,USA,Basketball
25.0,FRG,Rowing
21.0,GBR,Fencing
48.0,FRG,Equestrianism
48.0,FRG,Equestrianism
21.0,CAN,Swimming
24.0,FRG,Athletics
19.0,USA,Cycling
26.0,GBR,Rowing
23.0,FRG,Swimming
26.0,FRA,Canoeing
22.0,FRG,Wrestling
24.0,FRG,Wrestling
18.0,AUS,Boxing
21.0,JPN,Shooting
21.0,JPN,Shooting
25.0,FRG,Hockey
24.0,FRG,Athletics
21.0,JPN,Rowing
25.0,JPN,Canoeing
25.0,JPN,Canoeing
29.0,GBR,Judo
30.0,FRG,Rowing
21.0,USA,Basketball
24.0,FRG,Rowing
20.0,CAN,Basketball
21.0,FRG,Basketball
22.0,FRG,Swimming
22.0,FRG,Swimming
22.0,FRG,Swimming
22.0,FRG,Swimming
28.0,JPN,Shooting
28.0,JPN,Shooting
20.0,FRG,Handball
19.0,JPN,Swimming
19.0,JPN,Swimming
18.0,USA,Swimming
24.0,JPN,Weightlifting
16.0,FRG,Swimming
16.0,FRG,Swimming
24.0,JPN,Fencing
31.0,FRG,Athletics
27.0,FRG,Athletics
26.0,USA,Hockey
27.0,ISV,Fencing
27.0,ISV,Fencing
25.0,FRA,Weightlifting
22.0,USA,Weightlifting
47.0,FRG,Equestrianism
47.0,FRG,Equestrianism
29.0,FRG,Hockey
23.0,CAN,Synchronized Swimming
23.0,CAN,Synchronized Swimming
28.0,CHN,Basketball
41.0,FRG,Sailing
28.0,IND,Hockey
45.0,IND,Shooting
21.0,JPN,Swimming
21.0,JPN,Swimming
24.0,FRG,Rowing
20.0,FRG,Handball
22.0,FRG,Boxing
21.0,JPN,Boxing
29.0,GBR,Wrestling
25.0,JPN,Cycling
25.0,JPN,Cycling
28.0,USA,Wrestling
24.0,ITA,Wrestling
23.0,ITA,Wrestling
14.0,FRA,Gymnastics
14.0,FRA,Gymnastics
14.0,FRA,Gymnastics
14.0,FRA,Gymnastics
14.0,FRA,Gymnastics
29.0,FRA,Football
28.0,USA,Athletics
25.0,ITA,Weightlifting
21.0,CHN,Weightlifting
25.0,AUS,Basketball
23.0,FRA,Athletics
37.0,IND,Shooting
27.0,ITA,Sailing
22.0,CAN,Boxing
23.0,CAN,Hockey
28.0,FRA,Fencing
28.0,FRA,Fencing
19.0,AUS,Swimming
25.0,FRG,Hockey
28.0,ITA,Volleyball
23.0,CAN,Basketball
28.0,GBR,Rowing
20.0,FRG,Synchronized Swimming
26.0,FRG,Swimming
26.0,FRG,Swimming
23.0,CHN,Volleyball
20.0,FRG,Shooting
23.0,GBR,Gymnastics
23.0,GBR,Gymnastics
23.0,GBR,Gymnastics
23.0,GBR,Gymnastics
23.0,GBR,Gymnastics
23.0,GBR,Gymnastics
23.0,GBR,Gymnastics
23.0,GBR,Gymnastics
16.0,ITA,Swimming
16.0,ITA,Swimming
16.0,ITA,Swimming
22.0,CAN,Athletics
22.0,CAN,Athletics
23.0,ITA,Rowing
15.0,GBR,Gymnastics
15.0,GBR,Gymnastics
15.0,GBR,Gymnastics
15.0,GBR,Gymnastics
15.0,GBR,Gymnastics
15.0,GBR,Gymnastics
25.0,USA,Swimming
28.0,USA,Hockey
24.0,USA,Handball
19.0,ITA,Swimming
19.0,ITA,Swimming
19.0,ITA,Swimming
26.0,FRA,Fencing
26.0,FRA,Fencing
23.0,CAN,Rowing
19.0,CAN,Rowing
27.0,USA,Athletics
30.0,CAN,Fencing
32.0,GBR,Sailing
18.0,ISV,Swimming
18.0,ISV,Swimming
18.0,GBR,Canoeing
23.0,JAM,Athletics
22.0,USA,Basketball
27.0,GBR,Weightlifting
32.0,FRA,Athletics
22.0,ITA,Gymnastics
22.0,ITA,Gymnastics
22.0,ITA,Gymnastics
22.0,ITA,Gymnastics
22.0,ITA,Gymnastics
22.0,ITA,Gymnastics
22.0,ITA,Gymnastics
23.0,USA,Swimming
37.0,GBR,Sailing
20.0,USA,Athletics
20.0,USA,Athletics
19.0,GBR,Rhythmic Gymnastics
21.0,CAN,Volleyball
22.0,CAN,Athletics
22.0,CAN,Athletics
27.0,FRA,Rowing
21.0,FRA,Rowing
36.0,CAN,Shooting
19.0,GBR,Swimming
18.0,AUS,Rowing
26.0,AUS,Hockey
26.0,FRA,Canoeing
27.0,AUS,Hockey
26.0,FRA,Canoeing
17.0,FRG,Gymnastics
17.0,FRG,Gymnastics
17.0,FRG,Gymnastics
17.0,FRG,Gymnastics
17.0,FRG,Gymnastics
17.0,FRG,Gymnastics
17.0,FRG,Athletics
24.0,POR,Athletics
34.0,FRA,Athletics
34.0,FRA,Athletics
25.0,GBR,Hockey
34.0,CAN,Archery
17.0,AUS,Swimming
17.0,AUS,Swimming
17.0,AUS,Swimming
17.0,AUS,Swimming
28.0,CAN,Sailing
23.0,FRA,Football
29.0,USA,Handball
29.0,CAN,Football
24.0,FRA,Fencing
24.0,FRA,Fencing
22.0,FRA,Swimming
31.0,AUS,Cycling
31.0,AUS,Cycling
26.0,CAN,Football
22.0,CAN,Athletics
27.0,FRG,Canoeing
27.0,FRG,Canoeing
27.0,FRG,Canoeing
29.0,USA,Rowing
23.0,USA,Athletics
23.0,USA,Athletics
23.0,USA,Athletics
23.0,USA,Athletics
20.0,USA,Athletics
18.0,CAN,Boxing
21.0,JAM,Athletics
25.0,USA,Wrestling
22.0,USA,Fencing
22.0,USA,Fencing
20.0,CHN,Wrestling
21.0,CHN,Diving
21.0,CHN,Fencing
21.0,CHN,Fencing
26.0,CHN,Water Polo
25.0,CHN,Athletics
17.0,CHN,Swimming
17.0,CHN,Swimming
25.0,CHN,Diving
23.0,CHN,Handball
18.0,CHN,Archery
25.0,CHN,Athletics
20.0,CHN,Gymnastics
20.0,CHN,Gymnastics
20.0,CHN,Gymnastics
20.0,CHN,Gymnastics
20.0,CHN,Gymnastics
20.0,CHN,Gymnastics
20.0,CHN,Gymnastics
20.0,CHN,Gymnastics
16.0,CHN,Diving
26.0,CHN,Weightlifting
21.0,CHN,Gymnastics
21.0,CHN,Gymnastics
21.0,CHN,Gymnastics
21.0,CHN,Gymnastics
21.0,CHN,Gymnastics
21.0,CHN,Gymnastics
21.0,CHN,Gymnastics
21.0,CHN,Gymnastics
22.0,CHN,Basketball
26.0,CHN,Basketball
21.0,CHN,Volleyball
21.0,CHN,Diving
26.0,CHN,Gymnastics
26.0,CHN,Gymnastics
26.0,CHN,Gymnastics
26.0,CHN,Gymnastics
26.0,CHN,Gymnastics
26.0,CHN,Gymnastics
26.0,CHN,Gymnastics
26.0,CHN,Gymnastics
19.0,CHN,Shooting
26.0,CHN,Shooting
21.0,CHN,Swimming
23.0,CHN,Wrestling
22.0,CHN,Swimming
22.0,CHN,Swimming
22.0,CHN,Volleyball
21.0,CHN,Athletics
26.0,CAN,Rowing
25.0,USA,Judo
46.0,FRG,Equestrianism
27.0,CHN,Shooting
31.0,USA,Rowing
41.0,FRG,Shooting
29.0,USA,Handball
21.0,USA,Swimming
24.0,FRG,Hockey
23.0,USA,Hockey
20.0,CHN,Rowing
20.0,CHN,Volleyball
27.0,CHN,Cycling
27.0,CHN,Fencing
27.0,CHN,Fencing
20.0,CHN,Shooting
23.0,CHN,Athletics
27.0,CHN,Basketball
21.0,CHN,Judo
26.0,CHN,Handball
19.0,CHN,Basketball
21.0,CHN,Shooting
25.0,CHN,Athletics
23.0,CHN,Handball
25.0,CHN,Fencing
25.0,CHN,Fencing
25.0,CHN,Fencing
21.0,CHN,Athletics
23.0,GBR,Athletics
23.0,GBR,Athletics
26.0,FRA,Athletics
26.0,GBR,Fencing
26.0,GBR,Fencing
27.0,GBR,Wrestling
28.0,FRA,Sailing
27.0,FRG,Water Polo
20.0,USA,Fencing
20.0,USA,Fencing
25.0,USA,Athletics
30.0,FRG,Sailing
25.0,ITA,Athletics
28.0,CAN,Gymnastics
28.0,CAN,Gymnastics
28.0,CAN,Gymnastics
28.0,CAN,Gymnastics
28.0,CAN,Gymnastics
28.0,CAN,Gymnastics
28.0,CAN,Gymnastics
28.0,CAN,Gymnastics
13.0,GBR,Swimming
25.0,FRA,Cycling
37.0,POR,Athletics
31.0,CAN,Shooting
41.0,GBR,Equestrianism
41.0,GBR,Equestrianism
28.0,AUS,Athletics
23.0,AUS,Athletics
24.0,FRG,Athletics
34.0,USA,Modern Pentathlon
34.0,USA,Modern Pentathlon
20.0,CHN,Gymnastics
20.0,CHN,Gymnastics
20.0,CHN,Gymnastics
20.0,CHN,Gymnastics
20.0,CHN,Gymnastics
20.0,CHN,Gymnastics
20.0,CHN,Gymnastics
20.0,CHN,Gymnastics
24.0,USA,Diving
24.0,USA,Diving
22.0,FRA,Cycling
22.0,FRA,Cycling
22.0,FRA,Cycling
22.0,FRA,Rowing
19.0,FRA,Athletics
19.0,FRA,Athletics
22.0,AUS,Rowing
24.0,GBR,Swimming
24.0,GBR,Swimming
24.0,GBR,Swimming
28.0,AUS,Rowing
21.0,FRA,Archery
21.0,CHN,Basketball
19.0,CHN,Cycling
23.0,CHN,Cycling
26.0,CHN,Fencing
26.0,CHN,Fencing
19.0,CAN,Swimming
19.0,FRG,Athletics
19.0,FRG,Athletics
19.0,FRG,Athletics
29.0,USA,Rowing
21.0,ITA,Volleyball
21.0,ITA,Volleyball
24.0,AUS,Weightlifting
23.0,FRG,Wrestling
28.0,AUS,Sailing
25.0,CAN,Rowing
23.0,USA,Swimming
23.0,USA,Swimming
23.0,USA,Swimming
45.0,FRG,Equestrianism
45.0,FRG,Equestrianism
21.0,FRG,Football
21.0,AUS,Cycling
21.0,AUS,Cycling
22.0,GBR,Boxing
21.0,USA,Athletics
23.0,CHN,Weightlifting
27.0,CHN,Weightlifting
21.0,CHN,Gymnastics
21.0,CHN,Gymnastics
21.0,CHN,Gymnastics
21.0,CHN,Gymnastics
21.0,CHN,Gymnastics
21.0,CHN,Gymnastics
18.0,JPN,Diving
19.0,GBR,Athletics
25.0,CAN,Rowing
22.0,POR,Athletics
22.0,POR,Athletics
24.0,CAN,Hockey
26.0,CAN,Hockey
18.0,CAN,Swimming
18.0,CAN,Swimming
18.0,CAN,Swimming
18.0,CAN,Swimming
27.0,GBR,Athletics
26.0,GBR,Sailing
25.0,CAN,Swimming
23.0,JPN,Rowing
28.0,JPN,Fencing
28.0,JPN,Fencing
24.0,FRG,Rowing
22.0,ITA,Wrestling
17.0,GBR,Athletics
24.0,USA,Volleyball
23.0,ITA,Basketball
24.0,AUS,Basketball
20.0,PAK,Hockey
28.0,FRA,Athletics
25.0,GBR,Rowing
18.0,CAN,Athletics
24.0,CAN,Rowing
21.0,PAK,Wrestling
26.0,CAN,Hockey
22.0,QAT,Football
27.0,CAN,Athletics
26.0,IND,Weightlifting
26.0,GBR,Fencing
24.0,CAN,Athletics
31.0,POR,Athletics
25.0,JPN,Weightlifting
21.0,FRA,Shooting
47.0,ITA,Equestrianism
47.0,ITA,Equestrianism
21.0,ITA,Canoeing
28.0,FRG,Athletics
25.0,IND,Hockey
22.0,PAK,Athletics
22.0,PAK,Athletics
20.0,QAT,Athletics
25.0,ITA,Fencing
24.0,ITA,Sailing
29.0,ITA,Athletics
21.0,CAN,Fencing
21.0,CAN,Fencing
25.0,FRG,Sailing
26.0,USA,Rowing
30.0,ITA,Judo
21.0,FRA,Cycling
19.0,FRA,Athletics
19.0,FRA,Athletics
21.0,ITA,Fencing
21.0,ITA,Fencing
20.0,JAM,Swimming
20.0,JAM,Swimming
20.0,JAM,Swimming
20.0,JAM,Swimming
32.0,USA,Volleyball
25.0,POR,Fencing
21.0,JAM,Swimming
21.0,JAM,Swimming
21.0,JAM,Swimming
21.0,JAM,Swimming
21.0,JAM,Swimming
30.0,USA,Athletics
20.0,AUS,Basketball
27.0,AUS,Rowing
20.0,USA,Athletics
23.0,FRA,Rowing
25.0,GBR,Athletics
17.0,AUS,Athletics
17.0,AUS,Athletics
30.0,GBR,Fencing
30.0,GBR,Fencing
20.0,CAN,Volleyball
24.0,GBR,Cycling
24.0,AUS,Canoeing
25.0,GBR,Hockey
24.0,AUS,Athletics
21.0,ITA,Cycling
21.0,ITA,Cycling
25.0,USA,Wrestling
27.0,USA,Weightlifting
24.0,ITA,Athletics
24.0,FRG,Cycling
26.0,USA,Fencing
27.0,USA,Fencing
27.0,USA,Fencing
31.0,ITA,Basketball
29.0,ITA,Modern Pentathlon
29.0,ITA,Modern Pentathlon
24.0,CAN,Rowing
23.0,ITA,Football
28.0,USA,Fencing
28.0,USA,Fencing
23.0,CAN,Cycling
23.0,CAN,Cycling
31.0,FRA,Sailing
26.0,ITA,Modern Pentathlon
26.0,ITA,Modern Pentathlon
20.0,JPN,Athletics
25.0,ITA,Athletics
25.0,ITA,Athletics
21.0,ITA,Athletics
21.0,ITA,Athletics
20.0,FRA,Canoeing
21.0,JPN,Athletics
27.0,JPN,Handball
33.0,JPN,Shooting
33.0,JPN,Shooting
27.0,JPN,Judo
31.0,JPN,Archery
29.0,ITA,Athletics
24.0,FRG,Cycling
35.0,FRG,Sailing
24.0,AUS,Water Polo
23.0,ITA,Fencing
23.0,ITA,Fencing
23.0,CAN,Basketball
18.0,CAN,Swimming
29.0,USA,Fencing
29.0,USA,Fencing
23.0,GBR,Athletics
28.0,USA,Rowing
23.0,GBR,Athletics
28.0,GBR,Hockey
24.0,USA,Diving
25.0,USA,Athletics
20.0,USA,Boxing
28.0,USA,Water Polo
23.0,USA,Cycling
25.0,GBR,Rowing
24.0,GBR,Athletics
24.0,GBR,Athletics
23.0,AUS,Diving
23.0,AUS,Diving
24.0,USA,Hockey
21.0,USA,Basketball
15.0,CAN,Swimming
15.0,CAN,Swimming
15.0,CAN,Swimming
28.0,GBR,Rowing
24.0,GBR,Fencing
24.0,GBR,Fencing
28.0,GBR,Sailing
50.0,AUS,Equestrianism
20.0,USA,Athletics
20.0,USA,Athletics
24.0,CAN,Wrestling
24.0,USA,Sailing
23.0,AUS,Swimming
23.0,AUS,Swimming
30.0,USA,Archery
22.0,CAN,Athletics
23.0,USA,Canoeing
27.0,AUS,Rowing
24.0,CAN,Sailing
28.0,CAN,Sailing
32.0,GBR,Athletics
23.0,CAN,Rowing
23.0,USA,Hockey
28.0,USA,Shooting
18.0,USA,Gymnastics
18.0,USA,Gymnastics
18.0,USA,Gymnastics
18.0,USA,Gymnastics
18.0,USA,Gymnastics
18.0,USA,Gymnastics
23.0,GBR,Rowing
29.0,USA,Athletics
27.0,CAN,Athletics
28.0,GBR,Athletics
15.0,AUS,Swimming
15.0,AUS,Swimming
15.0,AUS,Swimming
15.0,AUS,Swimming
29.0,AUS,Equestrianism
29.0,AUS,Equestrianism
27.0,USA,Handball
21.0,CAN,Basketball
19.0,USA,Swimming
19.0,USA,Swimming
19.0,USA,Swimming
26.0,FRG,Handball
34.0,GBR,Shooting
18.0,JAM,Athletics
25.0,ITA,Fencing
18.0,QAT,Football
21.0,ITA,Athletics
22.0,FRG,Judo
28.0,CAN,Judo
37.0,ITA,Rowing
19.0,ITA,Rowing
24.0,FRG,Basketball
34.0,ITA,Basketball
26.0,USA,Basketball
32.0,ITA,Athletics
32.0,ITA,Athletics
32.0,ITA,Athletics
27.0,ITA,Cycling
23.0,GBR,Weightlifting
24.0,USA,Diving
22.0,FRG,Cycling
26.0,USA,Rowing
19.0,CAN,Athletics
25.0,CAN,Water Polo
24.0,FRG,Sailing
23.0,USA,Archery
28.0,FRG,Athletics
